index_x,conversation_num,gini_coefficient_num_words,gini_coefficient_num_chars,average_num_words,stdev_num_words,min_num_words,max_num_words,average_num_chars,stdev_num_chars,min_num_chars,max_num_chars,average_num_messages,stdev_num_messages,min_num_messages,max_num_messages,average_positive_sentiment,stdev_positive_sentiment,min_positive_sentiment,max_positive_sentiment,average_negative_sentiment,stdev_negative_sentiment,min_negative_sentiment,max_negative_sentiment,average_neutral_sentiment,stdev_neutral_sentiment,min_neutral_sentiment,max_neutral_sentiment,index_y,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,difficulty,score,duration,efficiency,timestamp
0,rHPaiuXkM3Ss4rEsW,0.43440860215053756,0.43268817204301074,18.6,14.513442045221389,2,41,93.0,72.69387869690267,9,205,2.6,1.019803902718557,1,4,0.9118,0.5659489022871235,0.377,2.0,0.06699999999999999,0.08738420909981391,0.0,0.215,1.6212,1.1302242963235218,0.256,3.408,0,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],586.0,107.0,5.476635514018692,2021-02-26T19:11:21.474Z
1,dArSAcrzmb9bR6Pug,0.12346938775510204,0.12051282051282051,61.25,13.534677683639163,43,79,292.5,66.76263925280367,222,372,8.75,1.479019945774904,7,11,1.26275,0.3915414250114539,0.9159999999999999,1.9,0.75225,0.29914994150091356,0.429,1.185,6.484999999999999,1.0814296093597586,5.303,7.899,1,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],559.0,406.0,1.376847290640394,2021-02-26T19:22:32.695Z
18,sbtKHuLChG8ge734n,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,18,1,High,High,High,High,Low,8,Easy [Corresponds to 'Hard' in PNAS],484.0,123.0,3.934959349593496,NULL_TIME
19,guq9kzMuDCpB4hRhK,0.2222222222222222,0.22564102564102564,4.0,1.632993161855452,2,6,21.666666666666668,9.741092797468305,8,30,2.6666666666666665,0.9428090415820634,2,4,2.28,0.8926201132994184,1.354,3.4859999999999998,0.0,0.0,0.0,0.0,0.3866666666666667,0.2786746410342275,0.0,0.646,19,1,Mixed,High,High,High,Low,4,Easy [Corresponds to 'Hard' in PNAS],515.0,152.0,3.388157894736842,2021-02-26T19:30:00.579Z
23,hSNqR8mxGD2jv3WeZ,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,23,1,High,Low,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],653.0,457.0,1.4288840262582057,NULL_TIME
24,QFLtvFgbhMhRt9KQK,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,24,1,High,Low,High,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],552.0,227.0,2.4317180616740086,NULL_TIME
25,PfRcbWpT8qDqYiuag,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,25,1,High,Low,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],561.0,206.0,2.7233009708737863,NULL_TIME
26,kTQ3SdYpMTZinAwHn,0.0,0.0,12.0,0.0,12,12,57.0,0.0,57,57,2.0,0.0,2,2,0.512,0.0,0.512,0.512,0.306,0.0,0.306,0.306,1.182,0.0,1.182,1.182,26,1,Low,Mixed,High,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],611.0,600.0,1.018333333333333,2021-02-26T19:23:59.943Z
27,TwunaL3J7Q2kC2nMf,0.0,0.3,1.0,0.0,1,1,7.5,4.5,3,12,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,27,1,Low,Low,High,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],511.0,94.0,5.4361702127659575,2021-02-26T19:16:38.062Z
28,BctKiX6FH5Mu63PY8,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,28,1,Mixed,Low,Low,Mixed,Low,5,Easy [Corresponds to 'Hard' in PNAS],479.0,85.0,5.635294117647059,NULL_TIME
29,TFXd7JkGn4hdXHvft,0.25,0.3695652173913043,2.0,1.0,1,3,11.5,8.5,3,20,1.0,0.0,1,1,0.2915,0.2915,0.0,0.583,0.0,0.0,0.0,0.0,0.7085,0.2915,0.417,1.0,29,1,Low,Low,Low,Mixed,Low,4,Easy [Corresponds to 'Hard' in PNAS],672.0,159.0,4.226415094339623,2021-02-26T19:22:00.850Z
30,MxNNDmoLQ9nmuHhHe,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,30,1,Mixed,Low,Low,Mixed,Low,3,Easy [Corresponds to 'Hard' in PNAS],633.0,131.0,4.8320610687022905,NULL_TIME
31,7QFpsEv5X3PgjWwwK,0.5139784946236559,0.5079726651480638,37.2,39.26525181378568,5,113,175.6,185.8091493979777,24,537,5.6,4.63033476111609,1,13,1.4789999999999999,1.1380523713783999,0.31,3.6559999999999997,0.3438,0.47468153534764757,0.0,1.206,3.7772000000000006,3.7608239203663874,0.69,10.669,31,1,High,High,High,High,High,5,Easy [Corresponds to 'Hard' in PNAS],586.0,405.0,1.4469135802469135,2021-03-03T19:10:57.150Z
49,SEN35wQWLHhBBexSa,0.47619047619047616,0.4807692307692308,7.0,6.48074069840786,1,16,34.666666666666664,31.710495984067414,3,78,2.0,0.816496580927726,1,3,0.4683333333333333,0.4106972391217431,0.0,1.0,0.0,0.0,0.0,0.0,1.5316666666666665,0.4106972391217431,1.0,2.0,49,1,High,High,Mixed,High,High,3,Easy [Corresponds to 'Hard' in PNAS],581.0,141.0,4.120567375886525,NULL_TIME
50,HvApsyAmuMwWyKcux,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,50,1,High,High,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],541.0,160.0,3.38125,NULL_TIME
51,g4mc5fAPshDRewkJ8,0.4492481203007519,0.46562314246086783,21.714285714285715,17.68546041821025,2,48,103.0,87.23531395025755,10,237,4.0,1.927248223318863,1,7,1.110857142857143,0.8150629123082513,0.0,2.2960000000000003,0.337,0.3170556508158871,0.0,0.688,2.5519999999999996,1.5304147897127198,0.196,4.641,51,1,High,High,High,Mixed,Low,7,Easy [Corresponds to 'Hard' in PNAS],498.0,266.0,1.8721804511278195,2021-03-03T19:18:55.200Z
75,8Tn58Shn84QLt98gm,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,75,1,High,High,High,Mixed,Low,6,Easy [Corresponds to 'Hard' in PNAS],434.0,48.0,9.041666666666666,NULL_TIME
76,biv6qmjxFHmfqCKDo,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,76,1,High,High,High,Low,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],621.0,72.0,8.625,NULL_TIME
77,HN8EpujSrSBZK8D4k,0.5526315789473685,0.5743243243243243,9.5,9.810708435174291,0,24,46.25,50.13170154702511,0,122,1.75,0.82915619758885,1,3,0.72725,0.4475440620765736,0.0,1.172,0.0,0.0,0.0,0.0,0.77275,0.7981514189049594,0.0,1.828,77,1,Low,Low,Low,Mixed,Low,5,Easy [Corresponds to 'Hard' in PNAS],672.0,142.0,4.732394366197183,2021-03-03T19:11:14.174Z
81,WvTqeFKEDkCLjF7ff,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,81,1,Mixed,Mixed,Mixed,High,Low,2,Easy [Corresponds to 'Hard' in PNAS],592.0,323.0,1.8328173374613004,NULL_TIME
82,xJqitLtjA4er5jnEn,0.42857142857142855,0.45,7.0,6.0,1,13,30.0,27.0,3,57,1.0,0.0,1,1,0.114,0.114,0.0,0.228,0.057,0.057,0.0,0.114,0.8295,0.17049999999999998,0.659,1.0,82,1,Low,Mixed,Low,Low,Low,4,Easy [Corresponds to 'Hard' in PNAS],569.0,236.0,2.4110169491525424,NULL_TIME
83,3GHKN56ERGrgdxG4y,0.18018018018018017,0.16470588235294117,12.333333333333334,4.189935029992178,8,18,56.666666666666664,17.55625877635159,33,75,2.0,0.816496580927726,1,3,0.38633333333333336,0.2834270433266538,0.0,0.672,0.034666666666666665,0.04902607016226729,0.0,0.104,1.579,0.586471369008468,0.896,2.328,83,1,High,Low,High,Mixed,Low,7,Easy [Corresponds to 'Hard' in PNAS],471.0,180.0,2.6166666666666667,2021-03-10T18:15:56.407Z
88,AsEcMzyehsmuQspZo,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,88,1,Mixed,Low,High,Low,Low,3,Easy [Corresponds to 'Hard' in PNAS],492.0,182.0,2.7032967032967035,NULL_TIME
89,EAT5huLHGhHMqrwkH,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,89,1,High,Low,High,High,Low,1,Easy [Corresponds to 'Hard' in PNAS],596.0,71.0,8.394366197183098,NULL_TIME
90,WCgKHreZdSG6H8PaW,0.0,0.0,2.0,0.0,2,2,6.0,0.0,6,6,2.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,90,1,High,Low,High,High,Low,1,Easy [Corresponds to 'Hard' in PNAS],652.0,249.0,2.618473895582329,NULL_TIME
91,BEY4ikSKrGtcaT8vb,0.35714285714285715,0.4189189189189189,3.5,2.5,1,6,18.5,15.5,3,34,1.0,0.0,1,1,0.1835,0.1835,0.0,0.367,0.0,0.0,0.0,0.0,0.8165,0.1835,0.633,1.0,91,1,High,High,High,Low,Low,5,Easy [Corresponds to 'Hard' in PNAS],525.0,218.0,2.408256880733945,2021-03-10T18:27:59.844Z
