index_x,conversation_num,gini_coefficient_num_words,gini_coefficient_num_chars,average_num_words,stdev_num_words,min_num_words,max_num_words,average_num_chars,stdev_num_chars,min_num_chars,max_num_chars,average_num_messages,stdev_num_messages,min_num_messages,max_num_messages,average_positive_sentiment,stdev_positive_sentiment,min_positive_sentiment,max_positive_sentiment,average_negative_sentiment,stdev_negative_sentiment,min_negative_sentiment,max_negative_sentiment,average_neutral_sentiment,stdev_neutral_sentiment,min_neutral_sentiment,max_neutral_sentiment,index_y,batch_num,round_num,speaker_hash,timestamp,majority_pct,num_votes
0,0,0.1594626168224299,0.16605520614954578,107.0,33.94849039353591,30,140,536.625,168.10408791876537,183,725,6.5,2.3979157616563596,1,9,1.021558,0.7695252,0.016274832,2.4585392,2.4796233,1.4726616,0.44822085,4.4658856,2.9988184,1.3547453,0.53550434,5.119728,0,0,0,5e7e1e0031f4e454e196c30b,2020-04-20T18:27:20.125Z,1.0,3
52,1,0.12569549822964088,0.12466281310211946,109.83333333333333,28.457082695799222,76,169,576.6666666666666,151.8559258712752,433,903,7.5,3.685557397915997,3,12,0.9101438,0.62726843,0.2776599,2.1702554,3.0331929,1.5812703,0.9859626,5.635474,3.5566633,1.9051822,1.3659718,6.3072224,52,0,2,5e7e4f4c31f4e454e196c9c4,2020-04-20T18:57:21.726Z,0.6,5
97,2,0.2248847926267281,0.22085961912623076,66.42857142857143,27.338393425767382,18,114,346.14285714285717,141.7567620674116,124,619,6.285714285714286,4.130523512800274,3,16,0.616968,0.6045786,0.07109022,1.992144,3.1014316,1.7634587,0.7059505,6.450078,2.5673146,2.1130505,0.7026489,7.557778,97,1,0,5e9de5be9dc0406f8987226c,2020-04-20T18:35:51.231Z,0.6666666666666666,6
141,3,0.26143187066974594,0.2484549932825795,86.6,42.89801860226181,25,159,446.6,211.71546943952868,122,789,8.4,4.715930449020639,3,17,0.9702676,0.6189645,0.26021641,1.8149306,2.946073,1.5554799,1.467221,5.7483478,4.4836593,2.9911535,0.7124333,9.436722,141,1,3,5e9de4e29dc0406f89872254,2020-04-20T19:20:30.112Z,0.75,4
183,4,0.11376701966717097,0.10635155096011817,132.2,28.23756363427978,103,183,677.0,140.12565789319243,543,934,9.6,0.8,9,11,1.241895,0.42402813,0.9077159,1.9443117,3.2750232,1.1182284,2.1883614,5.300103,5.0830812,0.76089007,3.786999,5.8934402,183,2,2,5e9de67c9dc0406f898722c3,2020-04-20T19:14:17.569Z,1.0,3
231,5,0.11134020618556702,0.10733471074380166,155.2,31.587339235839416,114,192,774.4,153.03934134724966,580,963,9.6,3.3823069050575527,4,14,1.1377547,0.87993884,0.31324565,2.3398325,4.020561,1.9039304,1.7459875,7.431152,4.4416842,1.879339,1.7133216,7.589341,231,2,3,5e9de6b89dc0406f898722c6,2020-04-20T19:29:18.601Z,0.75,4
279,6,0.2638226213864721,0.26398390342052314,72.71428571428571,39.805650301412825,40,163,355.0,195.99416900947406,211,800,11.428571428571429,3.374574803147919,6,18,2.0680375,0.95558935,0.58714926,3.6634436,3.50351,1.2580469,1.8594764,6.068411,5.8570237,1.8049048,2.7202504,8.268146,279,3,1,5e9dea789dc0406f89872547,2020-04-20T19:26:24.220Z,1.0,7
359,7,0.3890577507598784,0.40127515441322975,80.57142857142857,66.3989181126516,32,230,409.7142857142857,347.2836281303035,159,1188,10.0,3.295017884191656,6,15,1.8004616,0.93440855,0.6064441,3.4572291,3.1107998,1.2837178,1.2945235,5.696688,5.0887384,1.7304026,2.311776,7.7448416,359,3,3,5e9de4ec9dc0406f89872255,2020-04-20T19:56:31.598Z,0.8571428571428571,7
429,8,0.34041950113378683,0.3436785550983082,55.125,34.089725358236606,12,108,273.375,170.18367834489888,59,558,4.875,2.315032397181517,1,8,1.1739075,0.4488015,0.553396,1.9182425,1.169274,0.8211116,0.025131067,2.4659138,2.5318184,1.2530088,0.42147294,4.1301036,429,4,0,5e9f0e1c9dc0406f89874dcd,2020-04-21T16:01:32.350Z,1.0,2
468,9,0.2701367781155015,0.2781413612565445,82.25,41.39670880637735,37,169,429.75,226.69624500639617,207,923,6.375,3.119995993587171,2,12,1.1520883,0.7739196,0.09766786,2.6155148,2.3398,1.1711692,0.3561387,4.732334,2.883112,1.5710988,1.1475455,5.6204114,468,4,3,5e9f11d29dc0406f89875089,2020-04-21T16:46:05.519Z,0.875,8
